id,blockid,block,plan operator,variable,answer,answer with test
18502,1,"genre_movie = movies[genres].T
#display(genre_movie)


# get sum of all ratings per movie and count of ratings per movie
movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})
display(movies_ratings)

genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]",TODO,genre_movie,"# ever row is what movies are in one category
genre_movie = movies[genres].T
#display(genre_movie)


# get sum of all ratings per movie and count of ratings per movie
movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})
display(movies_ratings)

genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]

#display(
result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)
display(result)","# ever row is what movies are in one category
genre_movie = movies[genres].T
#display(genre_movie)


# get sum of all ratings per movie and count of ratings per movie
movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})
display(movies_ratings)

genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]

#display(
result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)
display(result)
def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    # ever row is what movies are in one category
    genre_movie = movies[genres].T

    # get sum of all ratings per movie and count of ratings per movie
    movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})

    genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
    genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]
    
    result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)

    return result.to_dict()
    
# local tests
def test_movie_rating_by_genre():
    genre_rating = movie_rating_by_genre(ratings, movies, genres)
    assert len(genre_rating) == 18
    assert np.allclose(genre_rating['Action'], 3.480245417953027)
    print(""All tests passed!"")

test_movie_rating_by_genre()"
18502,2,"movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})
display(movies_ratings)

genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]",TODO,movies_ratings,"# ever row is what movies are in one category
genre_movie = movies[genres].T
#display(genre_movie)


# get sum of all ratings per movie and count of ratings per movie
movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})
display(movies_ratings)

genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]

#display(
result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)
display(result)","# ever row is what movies are in one category
genre_movie = movies[genres].T
#display(genre_movie)


# get sum of all ratings per movie and count of ratings per movie
movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})
display(movies_ratings)

genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]

#display(
result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)
display(result)
def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    # ever row is what movies are in one category
    genre_movie = movies[genres].T

    # get sum of all ratings per movie and count of ratings per movie
    movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})

    genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
    genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]
    
    result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)

    return result.to_dict()
    
# local tests
def test_movie_rating_by_genre():
    genre_rating = movie_rating_by_genre(ratings, movies, genres)
    assert len(genre_rating) == 18
    assert np.allclose(genre_rating['Action'], 3.480245417953027)
    print(""All tests passed!"")

test_movie_rating_by_genre()"
18502,3,"genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]

#display(
result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)",TODO,genre_movie_ratings,"# ever row is what movies are in one category
genre_movie = movies[genres].T
#display(genre_movie)


# get sum of all ratings per movie and count of ratings per movie
movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})
display(movies_ratings)

genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]

#display(
result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)
display(result)","# ever row is what movies are in one category
genre_movie = movies[genres].T
#display(genre_movie)


# get sum of all ratings per movie and count of ratings per movie
movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})
display(movies_ratings)

genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]

#display(
result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)
display(result)
def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    # ever row is what movies are in one category
    genre_movie = movies[genres].T

    # get sum of all ratings per movie and count of ratings per movie
    movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})

    genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
    genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]
    
    result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)

    return result.to_dict()
    
# local tests
def test_movie_rating_by_genre():
    genre_rating = movie_rating_by_genre(ratings, movies, genres)
    assert len(genre_rating) == 18
    assert np.allclose(genre_rating['Action'], 3.480245417953027)
    print(""All tests passed!"")

test_movie_rating_by_genre()"
18502,4,"genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]

#display(
result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)",TODO,genre_movie_count,"# ever row is what movies are in one category
genre_movie = movies[genres].T
#display(genre_movie)


# get sum of all ratings per movie and count of ratings per movie
movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})
display(movies_ratings)

genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]

#display(
result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)
display(result)","# ever row is what movies are in one category
genre_movie = movies[genres].T
#display(genre_movie)


# get sum of all ratings per movie and count of ratings per movie
movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})
display(movies_ratings)

genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]

#display(
result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)
display(result)
def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    # ever row is what movies are in one category
    genre_movie = movies[genres].T

    # get sum of all ratings per movie and count of ratings per movie
    movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})

    genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
    genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]
    
    result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)

    return result.to_dict()
    
# local tests
def test_movie_rating_by_genre():
    genre_rating = movie_rating_by_genre(ratings, movies, genres)
    assert len(genre_rating) == 18
    assert np.allclose(genre_rating['Action'], 3.480245417953027)
    print(""All tests passed!"")

test_movie_rating_by_genre()"
18502,5,"result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)
display(result)",TODO,result,"# ever row is what movies are in one category
genre_movie = movies[genres].T
#display(genre_movie)


# get sum of all ratings per movie and count of ratings per movie
movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})
display(movies_ratings)

genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]

#display(
result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)
display(result)","# ever row is what movies are in one category
genre_movie = movies[genres].T
#display(genre_movie)


# get sum of all ratings per movie and count of ratings per movie
movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})
display(movies_ratings)

genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]

#display(
result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)
display(result)
def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    # ever row is what movies are in one category
    genre_movie = movies[genres].T

    # get sum of all ratings per movie and count of ratings per movie
    movies_ratings = ratings.groupby('item_id').agg({'rating': [""sum"", 'count']})

    genre_movie_ratings = genre_movie * movies_ratings[('rating', 'sum')]
    genre_movie_count = genre_movie * movies_ratings[('rating', 'count')]
    
    result = np.sum(genre_movie_ratings, axis = 1) / np.sum(genre_movie_count, axis = 1)

    return result.to_dict()
    
# local tests
def test_movie_rating_by_genre():
    genre_rating = movie_rating_by_genre(ratings, movies, genres)
    assert len(genre_rating) == 18
    assert np.allclose(genre_rating['Action'], 3.480245417953027)
    print(""All tests passed!"")

test_movie_rating_by_genre()"
19672,1,"    Dict = {}
    for key in genres:
        movie_ids = movies[movies[key] == 1].index
        Dict[key] = ratings[ratings['item_id'].isin(movie_ids)]['rating'].mean()
    return Dict",TODO,Dict,"def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    Dict = {}
    for key in genres:
        movie_ids = movies[movies[key] == 1].index
        Dict[key] = ratings[ratings['item_id'].isin(movie_ids)]['rating'].mean()
    return Dict
    pass","def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    Dict = {}
    for key in genres:
        movie_ids = movies[movies[key] == 1].index
        Dict[key] = ratings[ratings['item_id'].isin(movie_ids)]['rating'].mean()
    return Dict
    pass
# local tests
def test_movie_rating_by_genre():
    genre_rating = movie_rating_by_genre(ratings, movies, genres)
    assert len(genre_rating) == 18
    assert np.allclose(genre_rating['Action'], 3.480245417953027)
    print(""All tests passed!"")

test_movie_rating_by_genre()"
19672,2,"        movie_ids = movies[movies[key] == 1].index
        Dict[key] = ratings[ratings['item_id'].isin(movie_ids)]['rating'].mean()",TODO,movie_ids,"def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    Dict = {}
    for key in genres:
        movie_ids = movies[movies[key] == 1].index
        Dict[key] = ratings[ratings['item_id'].isin(movie_ids)]['rating'].mean()
    return Dict
    pass","def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    Dict = {}
    for key in genres:
        movie_ids = movies[movies[key] == 1].index
        Dict[key] = ratings[ratings['item_id'].isin(movie_ids)]['rating'].mean()
    return Dict
    pass
# local tests
def test_movie_rating_by_genre():
    genre_rating = movie_rating_by_genre(ratings, movies, genres)
    assert len(genre_rating) == 18
    assert np.allclose(genre_rating['Action'], 3.480245417953027)
    print(""All tests passed!"")

test_movie_rating_by_genre()"
18619,1,"    joined_df = ratings.merge(movies, left_on = ""item_id"", right_on = ""movie_id"", how = ""left"")
    return {genre : joined_df[""rating""].mul(joined_df[genre]).sum() / joined_df[genre].sum() for genre in genres}",TODO,joined_df,"def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    joined_df = ratings.merge(movies, left_on = ""item_id"", right_on = ""movie_id"", how = ""left"")
    return {genre : joined_df[""rating""].mul(joined_df[genre]).sum() / joined_df[genre].sum() for genre in genres}","def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    joined_df = ratings.merge(movies, left_on = ""item_id"", right_on = ""movie_id"", how = ""left"")
    return {genre : joined_df[""rating""].mul(joined_df[genre]).sum() / joined_df[genre].sum() for genre in genres}
# local tests
def test_movie_rating_by_genre():
    genre_rating = movie_rating_by_genre(ratings, movies, genres)
    assert len(genre_rating) == 18
    assert np.allclose(genre_rating['Action'], 3.480245417953027)
    print(""All tests passed!"")

test_movie_rating_by_genre()"
17341,1,"    avg_rating= dict()
    df=ratings.merge(movies, left_on=""item_id"", right_on=""movie_id"", how=""left"")
    
    for genre in genres:
        avg_rating[genre]=(df[df[genre]==1][""rating""].mean(axis=0))
        
    return avg_rating",TODO,avg_rating,"def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    
    avg_rating= dict()
    df=ratings.merge(movies, left_on=""item_id"", right_on=""movie_id"", how=""left"")
    
    for genre in genres:
        avg_rating[genre]=(df[df[genre]==1][""rating""].mean(axis=0))
        
    return avg_rating
    
    pass","def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    
    avg_rating= dict()
    df=ratings.merge(movies, left_on=""item_id"", right_on=""movie_id"", how=""left"")
    
    for genre in genres:
        avg_rating[genre]=(df[df[genre]==1][""rating""].mean(axis=0))
        
    return avg_rating
    
    pass
# local tests
def test_movie_rating_by_genre():
    genre_rating = movie_rating_by_genre(ratings, movies, genres)
    assert len(genre_rating) == 18
    assert np.allclose(genre_rating['Action'], 3.480245417953027)
    print(""All tests passed!"")

test_movie_rating_by_genre()"
17341,2,"    df=ratings.merge(movies, left_on=""item_id"", right_on=""movie_id"", how=""left"")
    
    for genre in genres:
        avg_rating[genre]=(df[df[genre]==1][""rating""].mean(axis=0))",TODO,df,"def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    
    avg_rating= dict()
    df=ratings.merge(movies, left_on=""item_id"", right_on=""movie_id"", how=""left"")
    
    for genre in genres:
        avg_rating[genre]=(df[df[genre]==1][""rating""].mean(axis=0))
        
    return avg_rating
    
    pass","def movie_rating_by_genre(ratings, movies, genres):
    """"""
    Compute the average movie ratings by genres.

    args:
        ratings (pd.DataFrame)  : Dataframe containing user ratings
        movies (pd.DataFrame)   : Dataframe containing movie attributes
        genres (List[str]) :  the list of movie genres

    return:
        Dict[str, float]  : a mapping from movie genres to their average rating scores
    """"""
    
    avg_rating= dict()
    df=ratings.merge(movies, left_on=""item_id"", right_on=""movie_id"", how=""left"")
    
    for genre in genres:
        avg_rating[genre]=(df[df[genre]==1][""rating""].mean(axis=0))
        
    return avg_rating
    
    pass
# local tests
def test_movie_rating_by_genre():
    genre_rating = movie_rating_by_genre(ratings, movies, genres)
    assert len(genre_rating) == 18
    assert np.allclose(genre_rating['Action'], 3.480245417953027)
    print(""All tests passed!"")

test_movie_rating_by_genre()"
